"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","segment","Postal Code","city","state","country","Product ID","Product Name","Sub-Category","category","sales","quantity","discount","profit","Shipping Cost","Order Priority","Month (name)"
"45346","CA-2016-PB880523-42370","2016-01-01","2016-01-06","Standard Class","PB-880523","Patrick Bzostek","Home Office",,"North York","Ontario","Canada","OFF-AR-5910","Sanford Highlighters, Blue","Art","Office Supplies",1575,1,0,171,1.4,"Medium","Januari"
"22266","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","TEC-AC-5101","Logitech Flash Drive, Programmable","Accessories","Technology",115236,4,0.1,28116,8.64,"Medium","Januari"
"22270","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","OFF-SU-4327","Fiskars Trimmer, Serrated","Supplies","Office Supplies",1053,3,0.1,819,7.56,"Medium","Januari"
"22267","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","OFF-PA-5879","SanDisk Message Books, Recycled","Paper","Office Supplies",85428,4,0.1,18948,12.79,"Medium","Januari"
"22269","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","OFF-ST-4294","Fellowes Trays, Industrial","Storage","Office Supplies",416664,8,0.1,41544,16.53,"Medium","Januari"
"49179","HU-2016-JR567057-42370","2016-01-01","2016-01-05","Standard Class","JR-567057","Jim Radford","Consumer",,"Budapest","Budapest","Hungary","OFF-BI-2898","Acco Binder, Recycled","Binders","Office Supplies",1551,1,0,45,1.89,"Medium","Januari"
"22268","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","TEC-AC-5122","Logitech Memory Card, Erganomic","Accessories","Technology",728568,8,0.1,-32472,143.97,"Medium","Januari"
"22265","ID-2016-MY182957-42370","2016-01-01","2016-01-04","First Class","MY-182957","Muhammed Yedwab","Corporate",,"Albury","New South Wales","Australia","TEC-CO-3679","Canon Copy Machine, Digital","Copiers","Technology",1649214,7,0.1,36624,178.71,"Medium","Januari"
"49178","HU-2016-JR567057-42370","2016-01-01","2016-01-05","Standard Class","JR-567057","Jim Radford","Consumer",,"Budapest","Budapest","Hungary","OFF-BI-4829","Ibico Index Tab, Durable","Binders","Office Supplies",927,1,0,405,1.26,"Medium","Januari"
"47987","IR-2016-AG52560-42371","2016-01-02","2016-01-04","Second Class","AG-52560","Andy Gerbode","Corporate",,"Ardabil","Ardabil","Iran","OFF-SU-4128","Elite Scissors, High Speed","Supplies","Office Supplies",4506,2,0,216,4.89,"High","Januari"
